種別,分類,動画での表示名,団体/チーム名,団体ID,配信日,大会名,URL,動画配信元,動画配信元URL,動画配信元ロゴURL
ライブ（チャプター）,スリークロスチーム,インスタントコー,インスタントコー,o1yudlqd,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/32,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=11413s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,FOCUS BRASS2026,FOCUS BRASS 2026,ojp3eng,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/33,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=10943s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,葛飾吹奏楽団マーチングバンド,葛飾吹奏楽団マーチングバンド,ooga083,2026-05-04,【FINAL】2026 MIX3™︎Div.2/3 スリークロス FINAL｜2026/5/34,https://www.youtube.com/watch?v=0kYihlNHx1Q&t=10569s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,NARAGAKU Marching Band,NARAGAKU Marching Band,os4jm34,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=7216s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,岐阜商業高校吹奏楽部 カラーガード,岐阜商業高校吹奏楽部 カラーガード,o1ciz75y,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=5722s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,Stellamaris Color Guard,Stellamaris Color Guard,o1xrc5h9,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=5399s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,Guard Team ONE,Guard Team ONE,o4q0yiy,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=5133s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,v,V,o14o7r9m,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=4835s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,京都府立木津高等学校吹奏楽部,京都府立木津高等学校吹奏楽部,o1v89nq,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=4375s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,岐阜ジュニアマーチングバンドThe Diamind,岐⾩ジュニアマーチングバンド The Diamind,o4s4i7d,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=2239s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,MIYU♡SHIHO(Ribbon),MIYU♡SHIHO(Ribbon),om5cmf1,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=1947s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,Kouki(Ribbon),Kouki(Ribbon),o5b1ipi,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=1669s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,開幕！,,,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=1258s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,終幕,,,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=11029s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,【Winners' Show】岐阜商業高校吹奏楽部 カラーガード,岐阜商業高校吹奏楽部 カラーガード,o1ciz75y,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=10644s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,【Winners' Show】Stellamaris Color Guard,Stellamaris Color Guard,o1xrc5h9,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=10308s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,【Winners' Show】v,V,o14o7r9m,2026-04-26,【関西CS】2026 MIX3™️ / スリークロス 関西CS｜2026/4/26,https://www.youtube.com/watch?v=rnfB71T_PmA&t=10008s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,SENDAI Verdures,SENDAI Verdures,o126whaw,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=9509s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Keys,"""Keys""",o1gcgtj0,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=8218s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,"ジュニアマーチングバンド""Be-Lights""","ジュニアマーチングバンド""Be-Lights""",o155c77b,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=7750s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Guard Team Unity,Guard Team Unity,oxevvw7,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=7355s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,DER GLANZ カラーガード,DER GLANZ カラーガード,o16z2hzs,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=7065s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,（SVCG）出演者希望により配信なし,,o181ydoo,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=5454s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,Mii,Mii,o1g1glwh,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=5221s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,DEARS,DEARS,oa6307x,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=4857s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,さとかりん,さとかりん,o16anp0h,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=4446s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,sayahina,sayahina,oxj5xgk,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=4024s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,杏夏,杏夏,o1ql0qdq,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=3717s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,WOLYNX,WOLYNX,o67ypnf,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=3380s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,尾口 泰音,尾口 泰音,o178ej7s,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=3069s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,yuuki,yuuki,o1ya5ad5,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=2721s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,開幕,,o1g14xv8,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=2303s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,終幕,,o10hrlsx,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=13131s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,"【Winners' Show】""Keys""","""Keys""",o1stc8b4,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=12690s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,（【Winners' Show】SVCG）出演者希望により配信なし,,ov00hrf,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=12328s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,【Winners' Show】Guard Team Unity,Guard Team Unity,oxevvw7,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=12029s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,"【Winners' Show】ジュニアマーチングバンド""Be-Lights""","ジュニアマーチングバンド""Be-Lights""",o155c77b,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=11590s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,準備,,o1a6g355,2026-04-19,【東北CS】2026 MIX3™️ / スリークロス 東北CS｜2026/4/19,https://www.youtube.com/watch?v=Y1P9Rq0Hz9E&t=10295s,マーチング祭,https://www.youtube.com/channel/UC4k9RWxkryjqTtQwkEo07Bg,
ライブ（チャプター）,スリークロスチーム,[泉区制40周年Performance] 創価ルネサンスバンガード・ジュニア,創価ルネサンスバンガード・ジュニア,ofdudai,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=9487s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,[泉区制40周年Performance] 横浜中田ジュニアマーチングバンド,横浜中田ジュニアマーチングバンド,ossiiwr,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=8552s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,葛飾吹奏楽団マーチングバンド,葛飾吹奏楽団マーチングバンド,ooga083,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=6975s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,Lynoir,Lynoir,oer4u3j,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=6554s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,Angelus,Angelus,o19cl1yl,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=6170s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,THE 永野 STARS,THE 永野 STARS,o1o6klx2,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=5913s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,Dreamers,Dreamers,o1pf3pft,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=5548s,マーチング祭,https://www.youtube.com/@marching-matsuri,
ライブ（チャプター）,スリークロスチーム,Emotion Doll,Emotion Doll,ociktv6,2026-04-18,【関東CS】2026 MIX3™️ / スリークロス 関東CS｜2026/4/18【泉区制40周年関連事業】,https://www.youtube.com/watch?v=QgSAK5THZjg&t=4056s,マーチング祭,https://www.youtube.com/@marching-matsuri,
