種別,分類,動画での表示名,団体/チーム名,団体ID,配信日,大会名,元動画タイトル,URL,動画配信元,動画配信元URL,動画配信元ロゴURL
動画,マーチング団体等,Tokyo Phoenix,Tokyo Phoenix Drum&Bugle Corps,ofza5wl,2023-01-31,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS Tokyo Phoenix,,https://www.youtube.com/watch?v=hQ-JXTJidLk,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,SONIC LANCERS,SONIC LANCERS,o1ed2qxk,2023-01-28,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS SONIC LANCERS,,https://www.youtube.com/watch?v=RYLdEZl6zeI,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,JOKERS,JOKERS,ojz17lo,2023-01-25,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS JOKERS,,https://www.youtube.com/watch?v=fkNRMEfODws,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,湘南ドルフィンズマーチングバンド,湘南ドルフィンズ・マーチングバンド,o1nov4hn,2023-01-21,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS 湘南ドルフィンズマーチングバンド,,https://www.youtube.com/watch?v=UZFl32jFKrE,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Yokohama INSPIRES,Yokohama INSPIRES Drum&Bugle Corps,o1a32hho,2022-12-25,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS Yokohama INSPIRES,,https://www.youtube.com/watch?v=q5D2gvtHbNE,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,SATSUKI DREAMERS Marchingband,SATSUKI DREAMERS Marchingband,o62ysud,2022-12-21,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS SATSUKI DREAMERS Marchingband,,https://www.youtube.com/watch?v=2ETVCBRezXw,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,THE FOCUS,THE FOCUS,o1iahfpj,2022-12-17,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS THE FOCUS,,https://www.youtube.com/watch?v=E9jJJISufeo,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,神奈川県立湘南台高等学校吹奏楽部 White Shooting Stars,神奈川県立湘南台高等学校吹奏楽部 White Shooting Stars,o1k1vb1f,2022-12-13,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS 神奈川県立湘南台高等学校吹奏楽部 White Shooting Stars,,https://www.youtube.com/watch?v=mwmwNh_QLUg,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,鎌倉女子大学中等部・高等部マーチングバンド,鎌倉女子大学中等部・高等部マーチングバンド,o1fgqocl,2022-12-09,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS 鎌倉女子大学中等部・高等部マーチングバンド,,https://www.youtube.com/watch?v=fTGYKQNP9zg,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,GENESIS,GENESIS,ooulsx2,2022-12-05,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS GENESIS,,https://www.youtube.com/watch?v=zmeIUNXucRY,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,THE YOKOHAMA SCOUTS,THE YOKOHAMA SCOUTS,oephwul,2022-11-30,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS THE YOKOHAMA SCOUTS,,https://www.youtube.com/watch?v=_zLm9ZlOTyo,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,JOKERS,JOKERS,ojz17lo,2020-03-13,2019 DCJ The27th ALL JAPAN JOKERS,,https://www.youtube.com/watch?v=zyhRhrrAefk,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,つつじが丘ジュニアマーチングバンド,つつじが丘ジュニアマーチングバンド,o2jxvpo,2019-12-07,2019 DCJ The27th ALL JAPAN つつじが丘ジュニアマーチングバンド,,https://www.youtube.com/watch?v=ZEAe3RcPWW8,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
